"Longitude","Latitude","GT"
22.63,38.38,958.0146
21.1709,38.8608,615.6442
20.4967,38.1883,1903.4136
21.0833,38.5333,296.3412
22.963,38.2304,9.0413
22.0826,38.2498,923.2636
20.57,38.46,116.4807
20.19,39.1967,337.1445
22.3806,38.3796,356.6802
20.2627,39.4998,504.3625
22.425,38.43,616.2621
20.7142,38.3727,649.1902
21.3183,37.6414,694.1276
19.91,39.62,6699.9536
22.7484,38.008,196.6491
21.1426,37.9334,981.5888
21.6693,37.2525,114.3044
22.9298,37.9383,2205.4077
20.7133,38.8367,2675.8022
20.437,38.2003,705.6141
21.1167,39.0433,911.2463
21.4233,38.3617,2836.9771
20.703,38.991,11.9
21.8267,38.3917,229.978
20.7139,38.7083,2052.7769
21.31,37.7333,126.5793
20.42,39.29,236.8203
21.7343,38.2498,2976.1612
20.7843,38.1441,175.2692
23.2276,38.1507,107.0925
20.7533,38.961,4184.5303
20.1833,39.6267,235.3811
20.6498,38.2483,139.7637
20.2505,39.4232,141.0368
20.8987,37.7834,2961.6409
